Order_id;Order_type;Sub_department;mean_time;Difficulty_level;Perform_peoples;Hull_number;Floor;Execution_date
38;Mail;technical_department;10;3;2;12;4;2021-09-22
39;Laying the network;technical_department;10;4;2;4;5;2021-07-02
40;Accounts;Telecommunications_department;10;3;1;5;7;2021-08-23
41;OS;technical_department;10;3;2;11;7;2021-11-25
42;Mail;Telecommunications_department;10;3;3;8;3;2021-01-12
43;Accounts;Information Resources Department;10;1;1;3;3;2021-10-09
44;Role system;Telecommunications_department;10;2;3;6;3;2021-11-19
45;Antivirus;Telecommunications_department;10;5;1;3;2;2021-02-11
46;Antivirus;technical_department;10;2;2;2;6;2021-03-18
47;Accounts;Telecommunications_department;10;3;3;12;4;2021-12-02
48;PC hardware replacement;Telecommunications_department;10;1;3;6;3;2021-01-01
49;Office equipment;Telecommunications_department;10;1;1;5;9;2021-03-14
50;Role system;Telecommunications_department;10;5;3;7;3;2021-04-06
51;Laying the network;Telecommunications_department;10;4;1;7;9;2021-12-10
52;PC hardware replacement;Telecommunications_department;10;4;1;4;6;2021-12-28
53;Role system;technical_department;10;1;3;6;2;2021-02-27
54;Laying the network;technical_department;10;3;2;10;4;2021-03-11
55;Mail;Telecommunications_department;10;4;3;1;8;2021-11-03
56;Mail;Information Resources Department;10;2;1;1;4;2021-11-09
57;Mail;Telecommunications_department;10;1;2;5;7;2021-12-28
58;Installing software;technical_department;10;5;1;12;7;2021-12-29
59;Role system;Telecommunications_department;10;3;3;6;1;2021-08-12
60;PC hardware replacement;technical_department;10;4;1;8;5;2021-08-07
61;Laying the network;technical_department;10;5;3;3;7;2021-09-14
62;PC hardware replacement;technical_department;10;2;2;12;6;2021-09-03
63;OS;Information Resources Department;10;2;1;9;7;2021-04-06
64;Installing software;Information Resources Department;10;5;2;2;9;2021-03-20
65;Mail;technical_department;10;4;2;11;1;2021-04-16
66;Accounts;technical_department;10;3;1;11;7;2021-03-24
67;Antivirus;technical_department;10;1;1;10;7;2021-10-13
68;Internet;Telecommunications_department;10;1;2;6;8;2021-09-15
69;Mail;technical_department;10;2;2;6;7;2021-09-30
70;OS;Telecommunications_department;10;3;2;9;3;2021-08-27
71;PC hardware replacement;Telecommunications_department;10;3;1;10;2;2021-03-08
72;Mail;technical_department;10;1;3;8;1;2021-01-27
73;Antivirus;technical_department;10;4;3;11;8;2021-01-31
74;OS;Information Resources Department;10;3;3;4;2;2021-12-16
75;Laying the network;technical_department;10;5;3;9;9;2021-06-15
76;Internet;technical_department;10;5;2;9;7;2021-04-25
77;Internet;technical_department;10;1;2;3;3;2021-04-17
78;Mail;technical_department;10;2;2;11;5;2021-02-20
79;Internet;technical_department;10;2;2;6;1;2021-08-07
80;Installing software;technical_department;10;4;2;9;7;2021-06-07
81;Antivirus;Telecommunications_department;10;2;2;5;2;2021-05-18
82;PC hardware replacement;Information Resources Department;10;1;3;4;2;2021-03-12
83;OS;Information Resources Department;10;3;3;1;6;2021-08-16
84;Installing software;technical_department;10;2;3;7;1;2021-06-03
85;Accounts;Information Resources Department;10;3;3;6;4;2021-05-04
86;Accounts;Telecommunications_department;10;3;1;7;3;2021-02-14
87;Laying the network;Information Resources Department;10;3;2;7;5;2021-07-09
88;Role system;Telecommunications_department;10;5;2;4;7;2021-04-16
89;Installing software;Telecommunications_department;10;3;3;5;9;2021-03-05
90;Antivirus;technical_department;10;1;1;9;6;2021-12-03
91;Antivirus;Information Resources Department;10;2;2;12;7;2021-04-18
92;Installing software;Information Resources Department;10;1;2;11;8;2021-01-11
93;Role system;technical_department;10;2;1;3;8;2021-11-18
94;Laying the network;technical_department;10;2;2;9;5;2021-08-08
95;Accounts;technical_department;10;1;1;3;4;2021-12-09
96;Installing software;Telecommunications_department;10;3;1;4;4;2021-08-24
97;Installing software;Information Resources Department;10;5;2;11;2;2021-06-20
98;Office equipment;technical_department;10;3;1;8;6;2021-02-27
99;Installing software;Telecommunications_department;10;5;3;4;4;2021-06-18
100;Laying the network;technical_department;10;3;3;9;3;2021-02-20
101;Installing software;Information Resources Department;10;3;2;6;9;2021-12-04
102;Internet;Telecommunications_department;10;4;1;6;2;2021-08-02
103;Mail;technical_department;10;2;3;4;8;2021-11-10
104;Role system;Information Resources Department;10;3;1;11;5;2021-07-03
105;Laying the network;Information Resources Department;10;1;3;11;9;2021-04-06
106;Internet;Information Resources Department;10;3;3;1;1;2021-11-20
107;OS;Telecommunications_department;10;4;2;3;5;2021-02-18
108;Laying the network;Information Resources Department;10;3;3;12;1;2021-09-29
109;Mail;technical_department;10;3;2;3;5;2021-06-22
110;OS;technical_department;10;2;2;8;4;2021-01-25
111;OS;Telecommunications_department;10;1;2;12;7;2021-04-13
112;Accounts;Information Resources Department;10;2;3;12;1;2021-11-10
113;Internet;Telecommunications_department;10;4;3;5;3;2021-07-23
114;Laying the network;Information Resources Department;10;1;3;1;1;2021-02-14
115;Accounts;technical_department;10;2;2;7;2;2021-04-21
116;Installing software;Information Resources Department;10;5;1;10;4;2021-11-07
117;Installing software;Information Resources Department;10;4;1;6;5;2021-07-08
118;Office equipment;Telecommunications_department;10;4;1;4;2;2021-01-19
119;PC hardware replacement;technical_department;10;2;1;1;1;2021-03-15
120;Internet;technical_department;10;2;3;7;2;2021-09-19
121;PC hardware replacement;Telecommunications_department;10;4;1;5;1;2021-05-09
122;Mail;Telecommunications_department;10;1;1;6;6;2021-11-08
123;Installing software;Telecommunications_department;10;1;1;6;4;2021-12-21
124;Accounts;Telecommunications_department;10;4;1;2;3;2021-06-17
125;Mail;technical_department;10;3;1;3;1;2021-01-23
126;Installing software;Telecommunications_department;10;2;2;6;4;2021-07-14
127;Laying the network;Telecommunications_department;10;5;3;9;1;2021-08-15
128;Accounts;technical_department;10;1;2;7;7;2021-01-28
129;OS;Information Resources Department;10;2;3;11;4;2021-08-24
130;Role system;Telecommunications_department;10;3;1;5;5;2021-02-01
131;Role system;Information Resources Department;10;4;2;10;1;2021-02-22
132;Antivirus;Telecommunications_department;10;1;2;11;6;2021-07-26
133;PC hardware replacement;Information Resources Department;10;5;3;6;1;2021-02-09
134;PC hardware replacement;Telecommunications_department;10;4;1;2;1;2021-07-07
135;Laying the network;Telecommunications_department;10;1;2;10;4;2021-07-16
136;Internet;Telecommunications_department;10;1;3;2;8;2021-12-06
137;Role system;Information Resources Department;10;2;1;11;2;2021-06-11
138;Installing software;Information Resources Department;10;4;3;10;1;2021-10-26
139;Accounts;technical_department;10;3;1;9;2;2021-10-24
140;Antivirus;technical_department;10;1;1;3;5;2021-03-05
141;Accounts;technical_department;10;4;3;3;6;2021-08-26
142;Role system;Telecommunications_department;10;3;2;5;3;2021-12-30
143;Accounts;Information Resources Department;10;5;1;6;4;2021-12-16
144;Mail;technical_department;10;4;1;3;5;2021-04-16
145;Role system;technical_department;10;5;3;5;4;2021-09-26
146;Accounts;technical_department;10;1;3;10;9;2021-01-19
147;Laying the network;Telecommunications_department;10;1;2;1;8;2021-12-24
148;Accounts;Telecommunications_department;10;3;3;1;8;2021-04-13
149;OS;Information Resources Department;10;1;2;6;6;2021-09-11
150;Mail;Information Resources Department;10;4;1;1;1;2021-12-23
151;Mail;Telecommunications_department;10;1;1;7;7;2021-11-17
152;Internet;Information Resources Department;10;5;2;10;6;2021-02-23
153;Office equipment;technical_department;10;1;1;5;2;2021-07-13
154;Office equipment;Telecommunications_department;10;1;1;3;5;2021-10-13
155;Role system;Information Resources Department;10;5;1;12;1;2021-08-26
156;Accounts;technical_department;10;2;2;5;7;2021-11-20
157;Installing software;Information Resources Department;10;5;2;3;2;2021-03-30
158;Antivirus;Telecommunications_department;10;3;2;3;3;2021-06-18
159;OS;Information Resources Department;10;4;2;3;7;2021-04-20
160;Mail;Telecommunications_department;10;3;1;10;2;2021-07-04
161;Office equipment;Information Resources Department;10;4;1;11;5;2021-10-29
162;PC hardware replacement;Telecommunications_department;10;4;1;2;4;2021-01-07
163;Antivirus;technical_department;10;3;1;4;7;2021-10-27
164;Office equipment;technical_department;10;4;3;2;1;2021-12-29
165;Office equipment;Information Resources Department;10;2;3;6;2;2021-04-15
166;Laying the network;Information Resources Department;10;4;1;11;9;2021-06-12
167;PC hardware replacement;Information Resources Department;10;5;2;4;1;2021-03-22
168;Laying the network;technical_department;10;4;1;5;3;2021-05-13
169;Accounts;Information Resources Department;10;4;1;11;3;2021-08-15
170;Laying the network;technical_department;10;4;2;7;9;2021-09-30
171;Laying the network;Telecommunications_department;10;2;3;3;8;2021-06-29
172;Office equipment;Information Resources Department;10;3;3;6;8;2021-08-08
173;PC hardware replacement;Information Resources Department;10;1;1;3;7;2021-10-31
174;PC hardware replacement;Telecommunications_department;10;3;2;2;2;2021-12-04
175;Laying the network;technical_department;10;4;3;12;9;2021-08-22
176;Role system;Information Resources Department;10;2;3;6;8;2021-09-20
177;Accounts;technical_department;10;2;1;5;6;2021-11-30
178;Office equipment;technical_department;10;1;2;6;8;2021-12-24
179;OS;technical_department;10;5;1;7;5;2021-08-30
180;Mail;technical_department;10;5;1;4;3;2021-09-17
181;Antivirus;Telecommunications_department;10;2;2;6;8;2021-11-16
182;OS;Information Resources Department;10;4;1;10;9;2021-11-28
183;Laying the network;technical_department;10;5;3;1;4;2021-07-24
184;Laying the network;Telecommunications_department;10;3;3;12;9;2021-07-30
185;Laying the network;technical_department;10;2;2;5;4;2021-09-17
186;Role system;Information Resources Department;10;1;1;12;4;2021-09-17
187;Antivirus;technical_department;10;4;3;6;7;2021-05-02
188;Mail;Information Resources Department;10;5;3;8;1;2021-04-27
189;OS;Information Resources Department;10;1;2;3;3;2021-06-03
190;Mail;Telecommunications_department;10;3;2;12;2;2021-05-24
191;Accounts;Telecommunications_department;10;3;1;9;3;2021-12-23
192;Role system;technical_department;10;1;2;1;6;2021-12-07
193;Laying the network;Telecommunications_department;10;5;1;11;6;2021-01-03
194;Laying the network;Information Resources Department;10;4;1;11;3;2021-12-11
195;Installing software;Information Resources Department;10;2;3;10;4;2021-07-03
196;OS;Information Resources Department;10;2;2;5;4;2021-06-05
197;Laying the network;Telecommunications_department;10;3;1;6;4;2021-06-20
198;Accounts;Information Resources Department;10;4;1;8;8;2021-05-17
199;Mail;technical_department;10;4;1;10;7;2021-11-24
200;Antivirus;Information Resources Department;10;2;2;8;7;2021-10-16
201;Installing software;Telecommunications_department;10;5;2;11;4;2021-10-20
202;Accounts;technical_department;10;4;2;4;8;2021-09-05
203;OS;Information Resources Department;10;1;2;8;5;2021-03-04
204;OS;Telecommunications_department;10;1;1;9;3;2021-01-13
205;OS;Information Resources Department;10;2;1;3;9;2021-01-05
206;Laying the network;Information Resources Department;10;3;2;10;1;2021-11-09
207;OS;Telecommunications_department;10;3;2;5;6;2021-04-27
208;Role system;Telecommunications_department;10;5;1;9;3;2021-02-24
209;PC hardware replacement;technical_department;10;3;2;5;7;2021-02-05
210;Role system;technical_department;10;2;2;3;8;2021-11-28
211;Accounts;Telecommunications_department;10;4;3;1;2;2021-05-05
212;Role system;Information Resources Department;10;3;2;7;6;2021-02-21
213;Laying the network;Telecommunications_department;10;4;3;6;9;2021-01-21
214;Internet;Information Resources Department;10;4;1;7;8;2021-11-02
215;PC hardware replacement;Telecommunications_department;10;4;2;7;1;2021-03-29
216;Antivirus;Information Resources Department;10;1;2;3;4;2021-01-03
217;Internet;technical_department;10;4;2;5;5;2021-11-21
218;PC hardware replacement;Information Resources Department;10;2;1;9;3;2021-08-23
219;Installing software;Telecommunications_department;10;3;2;11;3;2021-01-05
220;Role system;Telecommunications_department;10;3;2;10;5;2021-09-30
221;Office equipment;Information Resources Department;10;3;3;3;5;2021-08-08
222;OS;Information Resources Department;10;3;2;9;1;2021-04-28
223;Laying the network;Information Resources Department;10;2;3;2;9;2021-08-29
224;Internet;Information Resources Department;10;4;3;4;9;2021-05-13
225;Role system;Telecommunications_department;10;2;2;11;8;2021-03-10
226;Accounts;Information Resources Department;10;4;1;8;3;2021-11-15
227;Role system;technical_department;10;1;2;4;9;2021-03-08
228;OS;Telecommunications_department;10;5;3;8;8;2021-11-08
229;Internet;Telecommunications_department;10;5;2;6;5;2021-08-24
230;Office equipment;technical_department;10;5;1;5;7;2021-04-22
231;Laying the network;Telecommunications_department;10;3;3;4;4;2021-07-31
232;Office equipment;technical_department;10;5;1;11;1;2021-03-22
233;OS;Telecommunications_department;10;2;3;11;6;2021-12-24
234;Office equipment;Telecommunications_department;10;4;2;1;7;2021-08-10
235;Mail;technical_department;10;5;1;2;2;2021-11-07
236;PC hardware replacement;technical_department;10;4;3;12;7;2021-06-18
237;Antivirus;Telecommunications_department;10;4;2;3;1;2021-03-11
238;Accounts;Information Resources Department;10;3;2;7;1;2021-10-14
239;Accounts;Information Resources Department;10;2;1;11;3;2021-12-31
240;Internet;technical_department;10;3;3;12;7;2021-07-31
241;OS;Information Resources Department;10;5;2;5;8;2021-04-11
242;PC hardware replacement;Telecommunications_department;10;2;2;12;7;2021-11-03
243;Laying the network;Information Resources Department;10;3;2;7;8;2021-01-09
244;Internet;Telecommunications_department;10;1;1;10;1;2021-07-27
245;Role system;Telecommunications_department;10;5;1;6;1;2021-03-28
246;Installing software;technical_department;10;5;1;4;7;2021-10-08
247;Mail;Information Resources Department;10;3;1;1;7;2021-12-01
248;Office equipment;Telecommunications_department;10;3;3;6;7;2021-06-09
249;Mail;Information Resources Department;10;5;3;5;6;2021-01-27
250;Laying the network;Information Resources Department;10;2;1;5;2;2021-07-28
251;Role system;Information Resources Department;10;2;1;5;9;2021-09-10
252;Internet;technical_department;10;5;3;1;8;2021-03-06
253;Laying the network;Telecommunications_department;10;4;1;3;6;2021-10-12
254;Internet;Information Resources Department;10;4;2;6;9;2021-04-02
255;OS;technical_department;10;1;2;8;6;2021-05-04
256;Laying the network;Telecommunications_department;10;2;2;7;4;2021-10-17
257;Mail;Telecommunications_department;10;3;2;11;9;2021-05-14
258;Office equipment;Information Resources Department;10;5;1;5;2;2021-10-21
259;Office equipment;Telecommunications_department;10;5;2;10;6;2021-11-10
260;PC hardware replacement;technical_department;10;2;1;11;3;2021-04-15
261;Mail;technical_department;10;1;2;5;6;2021-10-28
262;Role system;technical_department;10;5;1;2;7;2021-03-27
263;PC hardware replacement;Information Resources Department;10;2;2;10;1;2021-04-05
264;Office equipment;Information Resources Department;10;2;2;2;5;2021-08-26
265;Antivirus;Telecommunications_department;10;3;3;11;7;2021-02-28
266;Role system;Telecommunications_department;10;5;2;10;6;2021-07-15
267;Laying the network;Telecommunications_department;10;4;1;8;8;2021-07-13
268;PC hardware replacement;Information Resources Department;10;2;1;3;1;2021-11-22
269;Internet;Telecommunications_department;10;5;3;2;2;2021-05-16
270;Office equipment;Information Resources Department;10;4;2;4;9;2021-09-19
271;Laying the network;technical_department;10;1;3;5;9;2021-09-05
272;Laying the network;Information Resources Department;10;1;1;2;1;2021-01-04
273;Antivirus;Information Resources Department;10;1;3;5;1;2021-06-16
274;Internet;Telecommunications_department;10;2;2;9;6;2021-10-08
275;OS;technical_department;10;2;1;1;5;2021-09-13
276;Laying the network;Information Resources Department;10;4;2;1;4;2021-12-31
277;Accounts;technical_department;10;2;1;5;3;2021-06-01
278;Antivirus;technical_department;10;5;1;1;6;2021-09-12
279;Laying the network;technical_department;10;2;3;7;4;2021-08-07
280;OS;technical_department;10;1;1;9;2;2021-11-12
281;Accounts;Information Resources Department;10;2;1;5;8;2021-04-02
282;Accounts;technical_department;10;2;1;2;1;2021-07-03
283;Office equipment;technical_department;10;1;3;11;6;2021-05-16
284;Laying the network;Telecommunications_department;10;3;2;4;3;2021-08-10
285;Role system;Telecommunications_department;10;1;1;2;7;2021-12-16
286;Installing software;technical_department;10;4;1;3;8;2021-03-08
287;Accounts;Telecommunications_department;10;5;1;2;3;2021-01-08
288;Antivirus;technical_department;10;4;3;10;7;2021-03-23
289;Installing software;technical_department;10;5;3;11;1;2021-07-18
290;Mail;technical_department;10;5;1;2;1;2021-09-25
291;Installing software;Information Resources Department;10;4;1;4;3;2021-07-17
292;Installing software;Information Resources Department;10;5;3;2;6;2021-09-18
293;Accounts;technical_department;10;3;3;5;8;2021-01-03
294;PC hardware replacement;technical_department;10;5;1;11;6;2021-03-01
295;Mail;Telecommunications_department;10;1;1;4;7;2021-12-08
296;OS;Telecommunications_department;10;5;3;5;8;2021-01-30
297;Laying the network;technical_department;10;5;1;11;8;2021-05-05
298;PC hardware replacement;Telecommunications_department;10;5;2;7;5;2021-06-20
299;OS;Information Resources Department;10;3;3;2;5;2021-03-19
300;Installing software;Telecommunications_department;10;4;2;6;5;2021-04-28
301;Role system;Telecommunications_department;10;2;3;2;4;2021-07-20
302;Role system;technical_department;10;4;1;1;8;2021-08-24
303;OS;Information Resources Department;10;5;2;11;6;2021-05-11
304;Antivirus;Telecommunications_department;10;3;2;5;5;2021-06-09
305;Internet;Information Resources Department;10;3;3;5;2;2021-08-20
306;Installing software;Telecommunications_department;10;2;2;6;5;2021-09-12
307;Mail;Telecommunications_department;10;1;3;7;1;2021-05-20
308;Antivirus;Telecommunications_department;10;1;3;3;8;2021-06-06
309;Installing software;technical_department;10;3;2;5;4;2021-08-06
310;Mail;Telecommunications_department;10;5;1;9;5;2021-08-18
311;PC hardware replacement;Telecommunications_department;10;1;2;1;1;2021-04-12
312;PC hardware replacement;Information Resources Department;10;4;3;12;6;2021-04-18
313;PC hardware replacement;Information Resources Department;10;3;1;5;9;2021-06-06
314;Office equipment;technical_department;10;3;3;11;9;2021-06-07
315;Installing software;Telecommunications_department;10;5;2;5;3;2021-01-19
316;Antivirus;technical_department;10;1;3;7;7;2021-01-14
317;Mail;Telecommunications_department;10;3;2;2;9;2021-02-21
318;Antivirus;technical_department;10;4;1;12;7;2021-02-10
319;Laying the network;Information Resources Department;10;4;3;8;9;2021-09-12
320;Antivirus;Information Resources Department;10;2;2;1;2;2021-08-27
321;OS;technical_department;10;1;1;11;3;2021-09-22
322;OS;technical_department;10;5;3;11;9;2021-08-31
323;Role system;technical_department;10;3;3;10;9;2021-03-22
324;Accounts;Telecommunications_department;10;3;1;5;1;2021-02-22
325;PC hardware replacement;technical_department;10;4;1;5;9;2021-03-09
326;Laying the network;Telecommunications_department;10;5;1;8;5;2021-02-04
327;Antivirus;Information Resources Department;10;5;3;10;3;2021-08-14
328;PC hardware replacement;technical_department;10;3;2;7;3;2021-07-06
329;Role system;technical_department;10;2;2;11;1;2021-07-09
330;Laying the network;Information Resources Department;10;5;2;4;4;2021-05-25
331;Mail;Telecommunications_department;10;2;2;8;1;2021-11-21
332;Accounts;technical_department;10;2;1;9;8;2021-10-01
333;Accounts;technical_department;10;3;1;2;5;2021-09-24
334;PC hardware replacement;technical_department;10;4;1;10;7;2021-07-29
335;Accounts;technical_department;10;4;2;5;3;2021-01-15
336;Office equipment;technical_department;10;1;1;8;8;2021-11-13
337;Role system;Telecommunications_department;10;4;1;5;3;2021-10-25
338;Antivirus;Information Resources Department;10;3;2;3;4;2021-08-18
339;Laying the network;Information Resources Department;10;5;2;1;7;2021-01-23
340;Antivirus;technical_department;10;4;2;6;3;2021-11-10
341;OS;technical_department;10;5;2;5;5;2021-10-10
342;OS;Telecommunications_department;10;1;1;6;4;2021-07-23
343;Mail;Information Resources Department;10;5;1;7;6;2021-12-16
344;Installing software;Telecommunications_department;10;2;1;3;9;2021-09-22
345;Office equipment;Telecommunications_department;10;5;2;4;1;2021-08-11
346;Role system;technical_department;10;3;3;8;8;2021-05-12
347;Role system;technical_department;10;4;1;11;9;2021-09-24
348;Office equipment;Information Resources Department;10;4;1;10;1;2021-06-20
349;Installing software;technical_department;10;4;3;2;1;2021-04-27
350;Mail;technical_department;10;4;1;9;6;2021-01-16
351;OS;technical_department;10;3;3;2;6;2021-05-18
352;Office equipment;Telecommunications_department;10;5;3;4;6;2021-01-31
353;Office equipment;technical_department;10;3;1;10;4;2021-11-26
354;Internet;Telecommunications_department;10;5;3;7;8;2021-08-05
355;Office equipment;Telecommunications_department;10;2;2;4;6;2021-11-25
356;Mail;technical_department;10;1;3;8;4;2021-07-29
357;Office equipment;Information Resources Department;10;1;1;5;1;2021-05-14
358;Installing software;Telecommunications_department;10;1;3;5;4;2021-01-09
359;PC hardware replacement;technical_department;10;4;2;4;9;2021-04-19
360;Installing software;Information Resources Department;10;1;3;10;6;2021-12-09
361;Accounts;technical_department;10;3;2;10;2;2021-09-13
362;Accounts;Information Resources Department;10;5;2;1;3;2021-04-30
363;Laying the network;Information Resources Department;10;1;1;2;7;2021-07-27
364;Mail;Information Resources Department;10;5;2;12;3;2021-03-08
365;PC hardware replacement;technical_department;10;5;1;2;6;2021-11-28
366;Internet;Telecommunications_department;10;5;1;7;6;2021-07-04
367;Laying the network;Telecommunications_department;10;3;1;11;8;2021-09-19
368;OS;Information Resources Department;10;4;2;11;3;2021-04-19
369;Accounts;Telecommunications_department;10;1;2;4;5;2021-12-29
370;Mail;Information Resources Department;10;3;2;12;3;2021-07-23
371;OS;technical_department;10;4;1;6;4;2021-09-27
372;Office equipment;Information Resources Department;10;2;3;9;6;2021-04-16
373;Antivirus;Information Resources Department;10;1;3;5;7;2021-12-14
374;Role system;Telecommunications_department;10;1;3;3;3;2021-06-27
375;Antivirus;technical_department;10;4;3;12;3;2021-08-21
376;Installing software;technical_department;10;5;2;6;4;2021-02-26
377;Antivirus;Telecommunications_department;10;1;3;4;3;2021-10-15
378;PC hardware replacement;Telecommunications_department;10;3;3;5;7;2021-04-17
379;Office equipment;Telecommunications_department;10;4;1;5;6;2021-05-30
380;Office equipment;Telecommunications_department;10;1;3;1;5;2021-11-23
381;PC hardware replacement;technical_department;10;1;3;2;2;2021-07-02
382;Office equipment;Telecommunications_department;10;5;1;5;5;2021-12-20
383;Accounts;Telecommunications_department;10;2;2;8;2;2021-01-22
384;OS;technical_department;10;3;1;7;9;2021-07-06
385;Laying the network;Information Resources Department;10;4;2;10;5;2021-02-01
386;Installing software;Telecommunications_department;10;1;3;4;7;2021-07-10
387;Installing software;technical_department;10;1;1;9;3;2021-07-31
388;Role system;Information Resources Department;10;3;1;11;8;2021-01-02
389;Antivirus;Information Resources Department;10;2;2;5;3;2021-07-18
390;Antivirus;Information Resources Department;10;1;3;2;3;2021-12-14
391;Mail;Telecommunications_department;10;3;2;9;6;2021-12-23
392;Accounts;Telecommunications_department;10;3;2;1;1;2021-05-16
393;Installing software;Information Resources Department;10;5;3;10;4;2021-11-17
394;Antivirus;technical_department;10;1;2;10;2;2021-04-04
395;OS;technical_department;10;1;3;8;4;2021-04-02
396;Role system;Telecommunications_department;10;3;3;2;7;2021-08-11
397;OS;technical_department;10;1;2;2;8;2021-02-02
398;Installing software;Telecommunications_department;10;5;1;4;5;2021-06-08
399;OS;Information Resources Department;10;2;3;5;5;2021-05-26
400;PC hardware replacement;Telecommunications_department;10;2;3;2;6;2021-09-23
401;PC hardware replacement;Telecommunications_department;10;2;2;4;6;2021-03-05
402;OS;technical_department;10;3;2;9;2;2021-06-28
403;Mail;Information Resources Department;10;3;1;12;1;2021-06-03
404;OS;Telecommunications_department;10;5;2;12;1;2021-09-19
405;Laying the network;Information Resources Department;10;3;1;5;8;2021-02-19
406;PC hardware replacement;Information Resources Department;10;1;3;12;2;2021-06-02
407;PC hardware replacement;Information Resources Department;10;3;3;6;9;2021-04-26
408;Accounts;Information Resources Department;10;2;1;9;7;2021-08-02
409;Internet;Telecommunications_department;10;3;3;4;4;2021-12-20
410;Internet;Telecommunications_department;10;3;3;2;6;2021-03-22
411;Installing software;Information Resources Department;10;3;3;11;2;2021-02-03
412;OS;technical_department;10;4;1;4;8;2021-04-30
413;Office equipment;technical_department;10;2;1;2;4;2021-09-05
414;Role system;Telecommunications_department;10;5;1;2;4;2021-11-24
415;Laying the network;technical_department;10;1;1;2;8;2021-09-26
416;PC hardware replacement;Information Resources Department;10;5;3;9;4;2021-12-10
417;Internet;Information Resources Department;10;1;3;10;7;2021-04-07
418;Antivirus;Telecommunications_department;10;1;3;1;6;2021-06-15
419;Role system;Telecommunications_department;10;5;3;3;8;2021-04-05
420;Internet;Telecommunications_department;10;1;2;2;2;2021-06-08
421;Internet;Information Resources Department;10;4;3;5;4;2021-09-21
422;Mail;Information Resources Department;10;1;3;11;2;2021-11-18
423;Antivirus;Information Resources Department;10;2;1;3;3;2021-08-28
424;Mail;technical_department;10;1;3;4;5;2021-10-19
425;OS;Information Resources Department;10;1;1;10;5;2021-01-22
426;Mail;technical_department;10;1;2;6;1;2021-03-09
427;Mail;Telecommunications_department;10;5;2;2;1;2021-12-05
428;Internet;technical_department;10;1;2;5;1;2021-01-16
429;Antivirus;Information Resources Department;10;3;3;2;9;2021-04-09
430;Antivirus;Telecommunications_department;10;5;1;1;4;2021-05-14
431;Accounts;technical_department;10;1;2;11;2;2021-01-29
432;PC hardware replacement;technical_department;10;4;2;5;1;2021-02-27
433;OS;technical_department;10;4;3;4;7;2021-05-10
434;Internet;technical_department;10;4;2;6;1;2021-06-02
435;Laying the network;technical_department;10;2;3;6;7;2021-02-06
436;PC hardware replacement;technical_department;10;3;3;3;4;2021-02-24
437;Role system;Information Resources Department;10;4;1;5;9;2021-04-25
438;Laying the network;Information Resources Department;10;1;3;9;2;2021-05-07
439;Mail;technical_department;10;2;2;12;6;2021-12-30
440;Mail;Telecommunications_department;10;5;2;12;2;2021-01-06
